Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,277.380005,278.820007,271.260010,276.910004,276.910004,622100
2021-04-13,279.920013,294.220001,278.500000,293.119995,293.119995,1154300
2021-04-14,294.000000,294.399994,285.149994,287.600006,287.600006,815600
2021-04-15,291.279999,300.940002,290.299988,299.739990,299.739990,1216600
2021-04-16,299.739990,299.739990,290.399994,292.019989,292.019989,777800
2021-04-19,287.000000,291.660004,278.089996,280.369995,280.369995,1398400
2021-04-20,281.000000,281.000000,268.059998,271.200012,271.200012,1262200
2021-04-21,267.260010,267.265015,260.609985,261.709991,261.709991,1828500
2021-04-22,266.019989,271.630005,264.609985,265.160004,265.160004,1482300
2021-04-23,268.000000,286.290009,267.859985,284.109985,284.109985,2239000
2021-04-26,278.119995,298.730011,277.329987,298.019989,298.019989,2239600
2021-04-27,297.880005,299.484985,289.640015,292.920013,292.920013,1239400
2021-04-28,269.700012,270.160004,255.160004,256.839996,256.839996,7772300
2021-04-29,262.839996,265.880005,260.000000,262.149994,262.149994,3330800
2021-04-30,260.000000,264.399994,251.960007,252.119995,252.119995,2187600
2021-05-03,255.419998,258.600006,246.899994,247.690002,247.690002,2305600
2021-05-04,244.399994,244.800003,236.345001,240.119995,240.119995,2562400
2021-05-05,246.000000,246.339996,236.671005,239.500000,239.500000,1549900
2021-05-06,235.500000,237.729996,230.300003,237.039993,237.039993,1770100
2021-05-07,242.360001,246.500000,237.350006,239.410004,239.410004,1312600
2021-05-10,235.419998,237.470001,227.630005,228.210007,228.210007,1857300
2021-05-11,221.729996,230.940002,221.000000,228.009995,228.009995,2509400
2021-05-12,224.770004,232.009995,223.399994,225.600006,225.600006,1322100
2021-05-13,229.000000,231.410004,214.154999,217.070007,217.070007,1635700
2021-05-14,219.050003,223.850006,216.800003,223.589996,223.589996,2461700
2021-05-17,222.960007,223.699997,215.940002,223.330002,223.330002,1352400
2021-05-18,225.639999,230.380005,220.500000,220.990005,220.990005,1292600
2021-05-19,212.679993,220.880005,211.100006,220.309998,220.309998,1831800
2021-05-20,225.460007,231.190002,223.514999,228.679993,228.679993,1233400
2021-05-21,229.949997,231.559998,225.397003,229.139999,229.139999,1037500
2021-05-24,229.660004,235.615005,228.330002,234.059998,234.059998,980900
2021-05-25,237.009995,239.095001,233.250000,236.759995,236.759995,1126600
2021-05-26,237.899994,239.470001,231.529999,238.389999,238.389999,1364500
2021-05-27,238.399994,242.865005,233.964996,240.259995,240.259995,1002500
2021-05-28,242.029999,246.300003,241.110001,241.570007,241.570007,920700
2021-06-01,243.500000,246.330002,239.210007,241.729996,241.729996,1037300
2021-06-02,243.550003,243.550003,238.389999,239.729996,239.729996,1088900
2021-06-03,236.119995,238.449997,231.524994,232.190002,232.190002,1244800
2021-06-04,234.539993,238.110001,232.589996,236.169998,236.169998,946600
2021-06-07,235.869995,244.000000,235.869995,242.660004,242.660004,1273500
2021-06-08,245.220001,245.949997,240.229004,242.509995,242.509995,1167800
2021-06-09,243.009995,245.733994,237.548996,237.699997,237.699997,1024100
2021-06-10,238.679993,247.460007,237.119995,247.190002,247.190002,1500200
2021-06-11,248.000000,251.820007,240.800003,243.660004,243.660004,1577000
2021-06-14,245.000000,253.410995,243.970001,251.509995,251.509995,1250500
2021-06-15,252.479996,252.699997,241.949997,242.759995,242.759995,1350100
2021-06-16,244.110001,248.210007,236.460007,242.779999,242.779999,1367500
2021-06-17,238.830002,249.100006,238.500000,247.110001,247.110001,1237400
2021-06-18,246.110001,249.360001,244.330002,247.639999,247.639999,1348300
2021-06-21,247.500000,248.000000,242.039993,245.600006,245.600006,826100
2021-06-22,246.919998,254.350006,244.600006,253.639999,253.639999,1436700
2021-06-23,252.570007,257.690002,252.559998,256.700012,256.700012,951500
2021-06-24,260.000000,265.585999,259.600006,264.160004,264.160004,2251500
2021-06-25,266.079987,268.290009,261.859985,266.380005,266.380005,1562100
2021-06-28,268.000000,273.600006,265.779999,271.559998,271.559998,1248000
2021-06-29,271.010010,274.119995,265.089996,272.859985,272.859985,875000
2021-06-30,274.000000,280.540009,269.500000,275.589996,275.589996,1572600
2021-07-01,273.500000,275.250000,266.410004,268.630005,268.630005,835000
2021-07-02,269.760010,272.059998,267.291992,267.829987,267.829987,480900
2021-07-06,266.980011,269.649994,262.279999,263.519989,263.519989,1063800
2021-07-07,266.410004,266.489990,257.589996,259.040009,259.040009,746900
2021-07-08,254.250000,259.343994,250.309998,256.149994,256.149994,932900
2021-07-09,254.860001,262.980011,253.000000,262.829987,262.829987,575500
2021-07-12,263.549988,265.295013,257.829987,261.010010,261.010010,740900
2021-07-13,261.179993,267.760010,261.179993,263.850006,263.850006,899000
2021-07-14,264.209991,265.989990,253.339996,253.410004,253.410004,1119900
2021-07-15,252.839996,256.183990,246.830002,247.970001,247.970001,1506700
2021-07-16,250.000000,250.000000,242.270004,243.240005,243.240005,1443100
2021-07-19,239.000000,246.940002,237.190002,241.809998,241.809998,1232500
2021-07-20,243.000000,248.440002,238.600006,246.500000,246.500000,902100
2021-07-21,247.250000,249.750000,243.729996,247.910004,247.910004,1249900
2021-07-22,247.710007,248.949997,243.820007,244.179993,244.179993,781200
2021-07-23,243.279999,247.904999,240.000000,243.639999,243.639999,1501300
2021-07-26,238.000000,241.589996,235.125000,240.589996,240.589996,1931300
2021-07-27,239.759995,241.660004,232.940002,236.929993,236.929993,1403800
2021-07-28,220.699997,224.169998,213.110001,223.320007,223.320007,7220300
2021-07-29,225.309998,228.759995,223.500000,225.270004,225.270004,2544000
2021-07-30,226.529999,233.220001,225.339996,228.669998,228.669998,2170000
2021-08-02,228.720001,230.880005,222.649994,228.399994,228.399994,2227300
2021-08-03,226.619995,227.630005,214.994995,217.949997,217.949997,3438800
2021-08-04,218.199997,220.270004,216.639999,217.419998,217.419998,1670100
2021-08-05,219.500000,222.000000,216.699997,221.130005,221.130005,1700800
2021-08-06,221.669998,224.500000,219.160004,221.970001,221.970001,1014000
2021-08-09,223.479996,227.429993,220.755005,224.779999,224.779999,1040800
2021-08-10,225.539993,226.270004,215.330002,215.479996,215.479996,2855500
2021-08-11,216.070007,217.529999,210.149994,214.000000,214.000000,3304600
2021-08-12,213.210007,215.470001,210.520004,215.039993,215.039993,1541100
2021-08-13,215.500000,216.057999,211.210007,211.479996,211.479996,860200
2021-08-16,210.300003,210.865005,204.509995,208.830002,208.830002,1452500
2021-08-17,205.479996,208.889999,205.119995,206.160004,206.160004,1330100
2021-08-18,209.220001,209.500000,204.759995,205.419998,205.419998,1515100
2021-08-19,203.440002,207.990005,201.677994,205.080002,205.080002,834000
2021-08-20,209.550003,218.139999,209.550003,216.639999,216.639999,2314300
